Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,2011tga1,3,"Monday, November 14, 2011 15:40:11 UTC",-16.4611,-69.2395,4.2,217.80,22,"southern Peru"
ak,10354803,3,"Monday, November 14, 2011 15:29:53 UTC",61.2024,-151.6884,3.3,80.40,72,"Southern Alaska"
us,c0006rq5,4,"Monday, November 14, 2011 13:20:14 UTC",-9.6973,124.7164,4.4,26.30,24,"Timor region"
pr,11318001,0,"Monday, November 14, 2011 13:11:07 UTC",19.1620,-68.7470,3.3,83.00,11,"Dominican Republic region"
ak,10354762,3,"Monday, November 14, 2011 12:00:06 UTC",54.4749,-161.5963,2.7,14.20,12,"Alaska Peninsula"
us,c0006rpe,5,"Monday, November 14, 2011 11:53:35 UTC",18.4450,-72.8971,4.3,10.00,53,"Haiti region"
ak,10354759,2,"Monday, November 14, 2011 11:25:55 UTC",52.8022,-167.6881,2.6,25.40,14,"Fox Islands, Aleutian Islands, Alaska"
nc,71681016,5,"Monday, November 14, 2011 08:25:56 UTC",36.7135,-120.7398,2.6,0.00,89,"Central California"
us,c0006rmy,5,"Monday, November 14, 2011 06:51:39 UTC",43.0495,-103.5022,3.7,5.00,79,"South Dakota"
ak,10354714,2,"Monday, November 14, 2011 06:37:30 UTC",54.6813,-161.1610,2.7,27.00,11,"Alaska Peninsula"
us,c0006rmw,4,"Monday, November 14, 2011 06:24:33 UTC",-5.8646,-81.6154,4.4,42.30,22,"near the coast of northern Peru"
us,c0006rmt,4,"Monday, November 14, 2011 06:20:04 UTC",-1.2088,126.8358,4.7,29.70,26,"Kepulauan Sula, Indonesia"
us,c0006rmp,7,"Monday, November 14, 2011 05:31:41 UTC",35.5251,-96.7823,3.3,3.00,25,"Oklahoma"
ci,15075388,4,"Monday, November 14, 2011 04:59:18 UTC",33.9697,-117.2257,3.0,12.00,183,"Greater Los Angeles area, California"
us,c0006rm7,4,"Monday, November 14, 2011 04:47:37 UTC",53.4401,-166.9585,4.4,54.80,90,"Fox Islands, Aleutian Islands, Alaska"
us,c0006rlp,9,"Monday, November 14, 2011 04:05:12 UTC",-0.9540,126.8640,6.3,19.40,173,"Molucca Sea"
